va,pa,bank_class,score_vs_rep
0x000071a95c073000,0x0000000a9843c000,13,0.996
0x000071a95c074000,0x0000000a9843d000,11,0.986
0x000071a95c075000,0x0000000a9843e000,10,1.001
0x000071a95c076000,0x0000000a9843f000,7,0.991
0x000071a95c077000,0x0000000aea9fc000,0,1.011
0x000071a95c078000,0x0000000aea9fd000,2,1.000
0x000071a95c079000,0x0000000aea9fe000,12,1.000
0x000071a95c07a000,0x0000000aea9ff000,1,0.986
0x000071a95c07b000,0x00000003cc274000,6,1.009
0x000071a95c07c000,0x0000000670ed6000,13,1.008
0x000071a95c07d000,0x0000000a071e1000,7,1.004
0x000071a95c07e000,0x0000000a93de3000,7,0.985
0x000071a95c07f000,0x0000000a9139f000,2,1.000
0x000071a95c080000,0x000000045d884000,4,1.002
0x000071a95c081000,0x0000000bf8e87000,11,0.997
0x000071a95c082000,0x0000000a95383000,14,1.010
0x000071a95c083000,0x0000000575dbd000,2,1.004
0x000071a95c084000,0x0000000148ac9000,2,0.990
0x000071a95c085000,0x0000000a6af8e000,3,0.986
0x000071a95c086000,0x00000009620e8000,14,1.047
0x000071a95c087000,0x0000000667e60000,3,0.997
0x000071a95c088000,0x000000099e519000,12,1.003
0x000071a95c089000,0x0000000bc96f7000,7,0.998
0x000071a95c08a000,0x0000000a7508a000,15,1.003
0x000071a95c08b000,0x0000000bbb8c0000,6,1.003
0x000071a95c08c000,0x0000000997ce3000,2,0.998
0x000071a95c08d000,0x0000000bb0fd6000,1,1.010
0x000071a95c08e000,0x00000009f7ab0000,13,1.002
0x000071a95c08f000,0x0000000596f81000,2,0.984
0x000071a95c090000,0x00000005dcf28000,5,1.000
0x000071a95c091000,0x0000000c3823b000,7,0.991
0x000071a95c092000,0x0000000bd8b67000,7,0.996
0x000071a95c093000,0x0000000c2d2b7000,10,1.008
0x000071a95c094000,0x0000000bc4136000,12,1.002
0x000071a95c095000,0x000000054de26000,12,0.995
0x000071a95c096000,0x0000000aaef3b000,7,1.000
0x000071a95c097000,0x00000009183e6000,3,0.993
0x000071a95c098000,0x0000000754276000,11,1.001
0x000071a95c099000,0x0000000a049f0000,12,0.992
0x000071a95c09a000,0x00000008c268c000,15,0.995
0x000071a95c09b000,0x0000000390a2e000,8,0.999
0x000071a95c09c000,0x0000000c7cdfc000,3,0.989
0x000071a95c09d000,0x0000000c7cde2000,13,0.996
0x000071a95c09e000,0x0000000c54096000,10,1.005
0x000071a95c09f000,0x0000000c6a5c4000,10,1.002
0x000071a95c0a0000,0x0000000401cce000,12,1.003
0x000071a95c0a1000,0x0000000c4ea44000,3,0.989
0x000071a95c0a2000,0x0000000392881000,11,0.992
0x000071a95c0a3000,0x000000038ac3b000,11,0.995
0x000071a95c0a4000,0x00000008a920b000,14,0.994
0x000071a95c0a5000,0x00000006c41ef000,7,1.001
0x000071a95c0a6000,0x0000000c6838c000,3,0.999
0x000071a95c0a7000,0x0000000c4d764000,6,1.017
0x000071a95c0a8000,0x00000005b5d2b000,2,1.001
0x000071a95c0a9000,0x0000000c4a6ab000,1,0.992
0x000071a95c0aa000,0x0000000b3fe9e000,6,1.008
0x000071a95c0ab000,0x0000000c4e9ec000,12,1.000
0x000071a95c0ac000,0x00000004602d3000,7,0.997
0x000071a95c0ad000,0x000000097d079000,2,0.989
0x000071a95c0ae000,0x00000004c6dc6000,5,1.012
0x000071a95c0af000,0x0000000c51bdb000,14,1.006
0x000071a95c0b0000,0x000000057b699000,7,1.001
0x000071a95c0b1000,0x0000000a944ad000,2,1.004
0x000071a95c0b2000,0x00000006a865c000,5,1.003
0x000071a95c0b3000,0x00000005e7dca000,13,1.003
0x000071a95c0b4000,0x0000000b7b54a000,5,0.997
0x000071a95c0b5000,0x00000007d97bf000,14,0.994
0x000071a95c0b6000,0x00000008769f4000,4,0.989
0x000071a95c0b7000,0x00000003d0b83000,6,0.988
0x000071a95c0b8000,0x00000005ce5e2000,13,0.997
0x000071a95c0b9000,0x000000087922f000,2,0.988
0x000071a95c0ba000,0x00000008a2a5e000,13,1.001
0x000071a95c0bb000,0x00000005baac0000,9,1.007
0x000071a95c0bc000,0x0000000ac94c2000,7,0.989
0x000071a95c0bd000,0x0000000c0bb84000,10,1.003
0x000071a95c0be000,0x0000000c4ea39000,11,0.995
0x000071a95c0bf000,0x0000000c317e6000,3,0.991
0x000071a95c0c0000,0x0000000987600000,6,1.004
0x000071a95c0c1000,0x0000000b1d0af000,8,1.009
0x000071a95c0c2000,0x0000000ae9eb5000,2,1.006
0x000071a95c0c3000,0x000000076c85d000,7,0.962
0x000071a95c0c4000,0x0000000b3f8ce000,4,1.000
0x000071a95c0c5000,0x0000000a2d335000,14,1.003
0x000071a95c0c6000,0x000000036ff5c000,6,1.028
0x000071a95c0c7000,0x0000000c439b6000,0,1.020
0x000071a95c0c8000,0x000000073907e000,9,1.002
0x000071a95c0c9000,0x000000037c0c5000,2,0.992
0x000071a95c0ca000,0x0000000bc21f9000,9,1.008
0x000071a95c0cb000,0x0000000b15b00000,15,1.004
0x000071a95c0cc000,0x00000005c7618000,0,0.993
0x000071a95c0cd000,0x0000000967877000,7,0.990
0x000071a95c0ce000,0x000000040e4b0000,3,0.988
0x000071a95c0cf000,0x0000000c16036000,1,0.994
0x000071a95c0d0000,0x0000000c262fe000,0,1.005
0x000071a95c0d1000,0x00000007c88d3000,2,1.004
0x000071a95c0d2000,0x000000079c3ba000,1,0.975
0x000071a95c0d3000,0x000000086f25c000,3,0.997
0x000071a95c0d4000,0x0000000bbeb36000,0,1.001
0x000071a95c0d5000,0x0000000444fe7000,7,1.045
0x000071a95c0d6000,0x0000000845c78000,15,1.032
0x000071a95c0d7000,0x0000000c56c9a000,4,1.003
0x000071a95c0d8000,0x0000000215836000,0,0.994
0x000071a95c0d9000,0x00000008c6711000,2,0.993
0x000071a95c0da000,0x0000000728229000,0,1.002
0x000071a95c0db000,0x0000000b39758000,3,0.981
0x000071a95c0dc000,0x000000074f468000,7,0.993
0x000071a95c0dd000,0x0000000c262fd000,2,0.993
0x000071a95c0de000,0x0000000a796f0000,5,0.999
0x000071a95c0df000,0x00000006c339c000,15,0.996
0x000071a95c0e0000,0x0000000477488000,12,1.036
0x000071a95c0e1000,0x0000000b0d721000,11,0.986
0x000071a95c0e2000,0x00000008f8df3000,2,0.993
0x000071a95c0e3000,0x00000003ed7fe000,7,0.999
0x000071a95c0e4000,0x0000000a94a42000,10,0.995
0x000071a95c0e5000,0x0000000ba3288000,0,0.989
0x000071a95c0e6000,0x0000000a8a25f000,5,1.005
0x000071a95c0e7000,0x0000000a1b907000,2,0.991
0x000071a95c0e8000,0x00000009dfdb4000,1,1.002
0x000071a95c0e9000,0x0000000358c37000,2,1.025
0x000071a95c0ea000,0x0000000b001ee000,12,0.995
0x000071a95c0eb000,0x0000000adf3d7000,8,1.007
0x000071a95c0ec000,0x0000000a4f575000,9,0.999
0x000071a95c0ed000,0x000000041692f000,2,0.994
0x000071a95c0ee000,0x000000047887d000,5,1.008
0x000071a95c0ef000,0x0000000720d8e000,0,0.997
0x000071a95c0f0000,0x00000005bc5ba000,15,1.028
0x000071a95c0f1000,0x0000000907a27000,7,0.999
0x000071a95c0f2000,0x0000000770be8000,3,0.990
0x000071a95c0f3000,0x000000075b33d000,2,1.007
0x000071a95c0f4000,0x00000005336a4000,5,0.999
0x000071a95c0f5000,0x0000000537ee0000,3,0.981
0x000071a95c0f6000,0x000000039164f000,1,0.985
0x000071a95c0f7000,0x0000000a82421000,2,0.998
0x000071a95c0f8000,0x00000009da85a000,5,1.003
0x000071a95c0f9000,0x00000006cb9b9000,11,0.997
0x000071a95c0fa000,0x00000008a9b68000,5,1.001
0x000071a95c0fb000,0x00000003416d6000,9,1.006
0x000071a95c0fc000,0x0000000673d20000,6,0.998
0x000071a95c0fd000,0x0000000ad79a4000,4,1.002
0x000071a95c0fe000,0x00000003953d3000,4,0.963
0x000071a95c0ff000,0x000000090c6e2000,12,1.003
