va,pa,s,imc,ch,d,r,bg,ba,row,col
0x00007d762f717000,0x0000000373892000,0,0,0,0,0,0,0,11900,640
0x00007d762f717080,0x0000000373892080,0,0,0,0,0,0,0,11900,648
0x00007d762f717400,0x0000000373892400,0,0,0,0,0,0,0,11900,656
0x00007d762f717480,0x0000000373892480,0,0,0,0,0,0,0,11900,664
0x00007d762f717800,0x0000000373892800,0,0,0,0,0,0,0,11900,672
0x00007d762f717880,0x0000000373892880,0,0,0,0,0,0,0,11900,680
0x00007d762f717c00,0x0000000373892c00,0,0,0,0,0,0,0,11900,688
0x00007d762f717c80,0x0000000373892c80,0,0,0,0,0,0,0,11900,696
0x00007d762f678000,0x0000000373894000,0,0,0,0,0,0,0,11900,768
0x00007d762f678080,0x0000000373894080,0,0,0,0,0,0,0,11900,776
0x00007d762f678400,0x0000000373894400,0,0,0,0,0,0,0,11900,784
0x00007d762f678480,0x0000000373894480,0,0,0,0,0,0,0,11900,792
0x00007d762f678800,0x0000000373894800,0,0,0,0,0,0,0,11900,800
0x00007d762f678880,0x0000000373894880,0,0,0,0,0,0,0,11900,808
0x00007d762f678c00,0x0000000373894c00,0,0,0,0,0,0,0,11900,816
0x00007d762f678c80,0x0000000373894c80,0,0,0,0,0,0,0,11900,824
0x00007d762f741000,0x0000000373897000,0,0,0,0,0,0,0,11900,960
0x00007d762f741080,0x0000000373897080,0,0,0,0,0,0,0,11900,968
0x00007d762f741400,0x0000000373897400,0,0,0,0,0,0,0,11900,976
0x00007d762f741480,0x0000000373897480,0,0,0,0,0,0,0,11900,984
0x00007d762f741800,0x0000000373897800,0,0,0,0,0,0,0,11900,992
0x00007d762f741880,0x0000000373897880,0,0,0,0,0,0,0,11900,1000
0x00007d762f741c00,0x0000000373897c00,0,0,0,0,0,0,0,11900,1008
0x00007d762f741c80,0x0000000373897c80,0,0,0,0,0,0,0,11900,1016
0x00007d762f8ed000,0x0000000582812000,0,0,0,0,0,0,0,20552,640
0x00007d762f8ed080,0x0000000582812080,0,0,0,0,0,0,0,20552,648
0x00007d762f8ed400,0x0000000582812400,0,0,0,0,0,0,0,20552,656
0x00007d762f8ed480,0x0000000582812480,0,0,0,0,0,0,0,20552,664
0x00007d762f8ed800,0x0000000582812800,0,0,0,0,0,0,0,20552,672
0x00007d762f8ed880,0x0000000582812880,0,0,0,0,0,0,0,20552,680
0x00007d762f8edc00,0x0000000582812c00,0,0,0,0,0,0,0,20552,688
0x00007d762f8edc80,0x0000000582812c80,0,0,0,0,0,0,0,20552,696
0x00007d762f886000,0x0000000582814000,0,0,0,0,0,0,0,20552,768
0x00007d762f886080,0x0000000582814080,0,0,0,0,0,0,0,20552,776
0x00007d762f886400,0x0000000582814400,0,0,0,0,0,0,0,20552,784
0x00007d762f886480,0x0000000582814480,0,0,0,0,0,0,0,20552,792
0x00007d762f886800,0x0000000582814800,0,0,0,0,0,0,0,20552,800
0x00007d762f886880,0x0000000582814880,0,0,0,0,0,0,0,20552,808
0x00007d762f886c00,0x0000000582814c00,0,0,0,0,0,0,0,20552,816
